word,reason,definition
LOMBARD,technical_relation_definition,"Of or pertaining to Lombardy, or the inhabitants of Lombardy."
OTHERNESS,semicolon_dictionary_dump,The quality or state of being other or different; alterity;oppositeness.
FASCICLE,semicolon_dictionary_dump,"A small bundle or collection; a compact cluster; as, a fascicleof fibers; a fascicle of flowers or roots."
UNDERWENT,too_short_or_not_a_definition,imp. of Undergo.
MOP,length_out_of_range,"A made-up face; a grimace. ""What mops and mowes it makes!""Beau. & Fl."
BOLE,contains_answer_or_variant,"The trunk or stem of a tree, or that which is like it.Enormous elm-tree boles did stoop and lean. Tennyson."
HISTORIOGRAPHY,length_out_of_range,The art of employment of an historiographer.
DOUR,semicolon_dictionary_dump,"Hard; inflexible; obstinate; sour in aspect; hardy; bold.[Scot.]A dour wife, a sour old carlin. C. Reade."
BACILLUS,semicolon_dictionary_dump,"A variety of bacterium; a microscopic, rod-shaped vegetableorganism."
STOPPED,semicolon_dictionary_dump,"Made by complete closure of the mouth organs; shut; -- said ofcertain consonants (p, b, t, d, etc.). H. Sweet."
CHINAMAN,semicolon_dictionary_dump,A native of China; a Chinese.
FORESKIN,semicolon_dictionary_dump,The fold of skin which covers the glans of the penis; theprepuce.
PROFESSED,too_long,"Openly declared, avowed, acknowledged, or claimed; as, aprofessed foe; a professed tyrant; a professed Christian. Theprofessed (R. C. Ch.) , a certain class among the Jesuits bound by aspecial vow. See the note under Jesuit."
EXCEEDINGLY,length_out_of_range,To a very great degree; beyond what is usual; surpassingly. Itsignifies more than very.
BOTTOM,too_long,"The part of a ship which is ordinarily under water; hence, thevessel itself; a ship.My ventures are not in one bottom trusted. Shak.Not to sell the teas, but to return them to London in the samebottoms in which they were shipped. Bancroft.Full bottom, a hull of such shape as permits carrying a large amountof merchandise."
BOUNDING,contains_answer_or_variant,"Moving with a bound or bounds.The bounding pulse, the languid limb. Montgomery."
ASCERTAINMENT,length_out_of_range,The act of ascertaining; a reducing to certainty; a finding outby investigation; discovery.The positive ascertainment of its limits. Burke.
BORING,too_long,"The chips or fragments made by boring. Boring bar, a revolvingor stationary bar, carrying one or more cutting tools for dressinground holes.-- Boring tool (Metal Working), a cutting tool placed in a cutterhead to dress round holes. Knight."
NUMB,too_long,"To make numb; to deprive of the power of sensation or motion;to render senseless or inert; to deaden; to benumb; to stupefy.For lazy winter numbs the laboring hand. Dryden.Like dull narcotics, numbing pain. Tennyson."
ARLES,semicolon_dictionary_dump,"An earnest; earnest money; money paid to bind a bargain.[Scot.] Arles penny, earnest money given to servants. Kersey."
GRAMOPHONE,too_long,"An instrument for recording, preserving, and reproducingsounds, the record being a tracing of a phonautograph etched in somesolid material. Reproduction is accomplished by means of a systemattached to an elastic diaphragm."
REIS,contains_answer_or_variant,"The word is used as a Portuguese designation of money ofaccount, one hundred reis being about equal in value to eleven cents."
